name,price,discounted_price,promo,penjual,lokasi_penjual,rating,unit_terjual,url
Gabag Beauty Hydrating Night Cream - Skincare Aman Ibu Hamil dan Menyusui BPOM Halal | Krim Malam Bumil Bayi,Rp109.000,Rp79.570,27%,Gabag Indonesia,Tangerang,4.9,250+ terjual,https://www.tokopedia.com/gabag/gabag-beauty-hydrating-night-cream-skincare-aman-ibu-hamil-dan-menyusui-bpom-halal-krim-malam-bumil-bayi-1729416928977455313?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Paket Bundling Beeme Nourishing Balm (2pcs) | Skincare Ibu dan Anak,Rp170.000,Rp134.900,21%,Beeme Indonesia,Jakarta Selatan,4.9,10rb+ terjual,https://www.tokopedia.com/beemeindonesia/paket-bundling-2-pcs-beeme-nourishing-balm-skincare-ibu-dan-anak?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D9884702
Beeme Nourishing Balm | SKINCARE IBU DAN ANAK,Rp40.000,Rp28.000,30%,Beeme Indonesia,Jakarta Selatan,4.9,100rb+ terjual,https://www.tokopedia.com/beemeindonesia/beeme-nourishing-balm-skincare-ibu-dan-anak-1729691021139871410?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
(BUNDLING) Sabun Pemutih Thipank Moisture Gel Thipank Lip Men Serum Perawatan Wajah  Cerah dan Sehat skincare cowok organik pelembab care faceserum,Rp338.000,Rp299.000,12%,thipankskinofficial,Jakarta Utara,4.9,250+ terjual,https://www.tokopedia.com/thipankskinofficial/bundling-sabun-pemutih-thipank-moisture-gel-thipank-lip-men-serum-perawatan-wajah-cerah-dan-sehat-skincare-cowok-organik-pelembab-care-faceserum-1729754375635764583?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Moell Starter Kit - Body Wash 185gr & Hair Lotion 100gr & Shampoo 185gr - Melindungi dan Memperkuat Skin Barrier - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Anak,Rp370.000,Rp185.000,50%,MOELL OFFICIAL,Jakarta Utara,5.0,250+ terjual,https://www.tokopedia.com/moell-official/moell-starter-kit-body-wash-185gr-hair-lotion-100gr-shampoo-185gr-melindungi-dan-memperkuat-skin-barrier-skincare-anak-formulasi-dokter-dengan-microbiome-teknologi-skincare-anak-1730827245944538183?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D18669779
JOHNSON'S Milk + Rice Baby Lotion - Losion Skincare Bayi Newborn Untuk Melembapkan Kulit 200 ml,Rp35.900,Rp33.746,6%,Kenvue Official Store,Jakarta Timur,5.0,6rb+ terjual,https://www.tokopedia.com/johnsonnjohnson/johnson-s-milk-rice-baby-lotion-losion-skincare-bayi-newborn-untuk-melembapkan-kulit-200-ml-1729809379125069117?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D26529
Moell Special Bundling Body Wash & Shampoo - Skincare baby,Rp250.000,Rp116.500,53%,MOELL OFFICIAL,Jakarta Utara,5.0,1rb+ terjual,https://www.tokopedia.com/moell-official/moell-special-bundling-body-wash-shampoo-skincare-baby?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Moell Healthy Body Care Body Lotion 185gr  & Body Wash 185gr- Perawatan Kulit Bayi dan Anak - Melindungi dan Memperkuat Skin Barrier - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Bayi & Anak,Rp250.000,Rp125.000,50%,MOELL OFFICIAL,Jakarta Utara,5.0,250+ terjual,https://www.tokopedia.com/moell-official/moell-healthy-body-care-body-lotion-185gr-body-wash-185gr-perawatan-kulit-bayi-dan-anak-melindungi-dan-memperkuat-skin-barrier-skincare-anak-formulasi-dokter-dengan-microbiome-teknologi-skincare-bayi-anak-1731811789517390919?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D18669779
Moell Special Bundling Body Lotion & Body Wash - Skincare Baby,Rp250.000,Rp125.000,50%,MOELL OFFICIAL,Jakarta Utara,5.0,250+ terjual,https://www.tokopedia.com/moell-official/moell-special-bundling-body-lotion-body-wash-skincare-baby?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Moell Special Bundling Body Lotion & Hair Lotion - Skincare Baby,Rp250.000,Rp125.000,50%,MOELL OFFICIAL,Jakarta Utara,5.0,750+ terjual,https://www.tokopedia.com/moell-official/moell-special-bundling-body-lotion-hair-lotion-skincare-baby-1730815984107488707?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
JOHNSON'S Cotton Touch Face & Body Baby Lotion (PAKET ISI 2) - Losion Skincare Bayi Newborn Kulit Sensitif,Rp185.952,Rp174.795,6%,Kenvue Official Store,Jakarta Timur,5.0,1rb+ terjual,https://www.tokopedia.com/johnsonnjohnson/johnson-s-cotton-touch-face-body-baby-lotion-paket-isi-2-losion-skincare-bayi-newborn-kulit-sensitif-1729819744680576317?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D26529
"Moell Physical Sunscreen Anak 30ml SPF (50+) PA(++++) Broad Spectrum, Water Resistant - Skincare Untuk Anak & Bayi",Rp95.000,Rp59.500,37%,MOELL OFFICIAL,Jakarta Utara,5.0,8rb+ terjual,https://www.tokopedia.com/moell-official/moell-physical-sunscreen-anak-30ml-spf-50-pa-broad-spectrum-water-resistant-skincare-untuk-anak-bayi-1731242375950599239?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Moell Multipurpose Balm 30gr - Balm Multifungsi Bisabolol & Lavender Oil - Skincare Anak & Bayi,Rp130.000,Rp65.000,50%,MOELL OFFICIAL,Jakarta Utara,5.0,100+ terjual,https://www.tokopedia.com/moell-official/moell-multipurpose-balm-30gr-balm-multifungsi-bisabolol-lavender-oil-skincare-anak-bayi-1731652855235511367?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D18669779
Moell Bundling Body Lotion 185gr & Shampoo 185gr - Skincare Anak Diformulasikan Dokter dengan Microbiome Teknologi - Memperkuat Skin Barrier Kulit Badan dan Wajah - Skincare Anak - Skincare Bayi,Rp260.000,Rp130.000,50%,MOELL OFFICIAL,Jakarta Utara,5.0,3rb+ terjual,https://www.tokopedia.com/moell-official/moell-bundling-body-lotion-185gr-shampoo-185gr-skincare-anak-diformulasikan-dokter-dengan-microbiome-teknologi-memperkuat-skin-barrier-kulit-badan-dan-wajah-skincare-anak-skincare-bayi-1729670488738531399?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D18669779
JOHNSON'S Bed Time Baby Lotion - Losion Skincare Bayi Newborn Wangi Lily & Jasmine 200 ml,Rp35.900,Rp33.746,6%,Kenvue Official Store,Jakarta Timur,5.0,5rb+ terjual,https://www.tokopedia.com/johnsonnjohnson/johnson-s-bed-time-baby-lotion-losion-skincare-bayi-newborn-wangi-lily-jasmine-200-ml-1729803161727894845?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D26529
YESALL 25cm Aesthetic Tray Rak Kosmetik Putar 360° - Tempat Make Up / Minum / Skincare / Snack Organizer,Rp104.900,Rp49.900,52%,YESALL_NEW,Jakarta Barat,5.0,80+ terjual,https://www.tokopedia.com/yesall/yesall-25cm-aesthetic-tray-rak-kosmetik-putar-360-tempat-make-up-minum-skincare-snack-organizer-1731831502271383024?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
SKINCARE 101,Rp79.000,Rp19.500,75%,Outoftheboox,Depok,5.0,3 terjual,https://www.tokopedia.com/ootb/skincare-101?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D8362077
Moell Multipurpose Balm 30gr - Balm Multifungsi Bisabolol & Lavender Oil - Skincare Anak & Bayi,Rp130.000,Rp65.000,50%,MOELL OFFICIAL,Jakarta Utara,5.0,1rb+ terjual,https://www.tokopedia.com/moell-official/moell-multipurpose-balm-30gr-balm-multifungsi-bisabolol-lavender-oil-skincare-anak-bayi-1731242345652847687?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
