name,price,discounted_price,promo,penjual,lokasi_penjual,rating,unit_terjual,url
RAM DDR4 V-GeN RESCUE 4GB PC17000/2133Mhz Long Dimm (Memory PC VGEN),Rp197.000,,,Intact Official Store,Jakarta Pusat,5.0,250+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-v-gen-rescue-4gb-pc17000-2133mhz-long-dimm-memory-pc-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 SODimm V-GeN Platinum 16GB PC19200/2400Mhz Memory Laptop VGEN,Rp766.000,,,Intact Official Store,Jakarta Pusat,5.0,500+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-sodimm-v-gen-platinum-16gb-pc19200-2400mhz-memory-laptop-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR3 V-GeN Rescue 4GB PC12800/1600Mhz LongDimm Memory PC VGEN,Rp130.000,,,Intact Official Store,Jakarta Pusat,5.0,3rb+ terjual,https://www.tokopedia.com/intact-official/ram-ddr3-v-gen-rescue-4gb-pc12800-1600mhz-longdimm-memory-pc-vgen-1729598551252240514?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 SODimm V-GeN Platinum 16GB PC17000/2133Mhz Memory Laptop VGEN,Rp766.000,,,Intact Official Store,Jakarta Pusat,5.0,100+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-sodimm-v-gen-platinum-16gb-pc17000-2133mhz-memory-laptop-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR5 Sodimm V-GeN Platinum 32GB PC38400/4800Mhz PC44800/5600Mhz Memory Laptop Notebook VGEN,Rp1.537.500,,,Intact Official Store,Jakarta Pusat,5.0,4 terjual,https://www.tokopedia.com/intact-official/ram-ddr5-sodimm-v-gen-platinum-32gb-pc38400-4800mhz-pc44800-5600mhz-memory-laptop-notebook-vgen-1730007704062822530?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 SODimm V-GeN Platinum 4GB PC25600/3200Mhz Memory Laptop VGEN,Rp240.000,,,Intact Official Store,Jakarta Pusat,5.0,,https://www.tokopedia.com/intact-official/ram-ddr4-sodimm-v-gen-platinum-4gb-pc25600-3200mhz-memory-laptop-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 V-GeN Platinum Rescue 4GB PC17000/2133Mhz PC19200/2400Mhz PC21300/2666Mhz PC25600/3200Mhz LongDimm Memory PC VGEN,Rp206.000,,,Intact Official Store,Jakarta Pusat,5.0,500+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-v-gen-platinum-rescue-4gb-pc17000-2133mhz-pc19200-2400mhz-pc21300-2666mhz-pc25600-3200mhz-longdimm-memory-pc-vgen-1729599373340739714?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR3 V-GeN Platinum 8GB PC12800/1600Mhz Long Dimm Memory PC VGEN,Rp226.000,,,Intact Official Store,Jakarta Pusat,5.0,1rb+ terjual,https://www.tokopedia.com/intact-official/ram-ddr3-v-gen-platinum-8gb-pc12800-1600mhz-long-dimm-memory-pc-vgen-standart-20cb4?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
Longdimm VenomRX DDR4 8GB 3200 Mhz Memory RAM PC Venom RX Komputer,Rp255.000,,,Starcomp Purwokerto,Kab. Banyumas,5.0,10 terjual,https://www.tokopedia.com/starcomppurwokerto/longdimm-venomrx-ddr4-8gb-3200-mhz-memory-ram-pc-venom-rx-komputer-1731566396959392937?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM SAMSUNG SODIMM DDR4 4GB PC2666,Rp299.000,,,KING Laptop,Jakarta Pusat,5.0,17 terjual,https://www.tokopedia.com/king-laptop/ram-samsung-sodimm-ddr4-4gb-pc2666?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
TEAMGROUP Team Elite DDR5 32GB 1x32GB 5600Mhz RAM SODIMM - Memory,Rp1.499.000,,,JnJ Online,Jakarta Pusat,5.0,11 terjual,https://www.tokopedia.com/jnj77/teamgroup-team-elite-ddr5-32gb-1x32gb-5600mhz-ram-sodimm-memory?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
